ID Easting Northing Altitude Retro Angle Distance UTC Long Lat
28335045 753928.714 3753117.208 297.669 0.800 0.08871 14.290 62638.61867 -84.254304978 33.887868947
28335046 753928.727 3753117.188 297.523 0.851 0.07843 14.303 62638.61871 -84.254304843 33.887868764
28335047 753928.732 3753117.185 297.376 0.831 0.06815 14.299 62638.61874 -84.254304794 33.887868735
28335048 753928.736 3753117.182 297.229 0.839 0.05786 14.296 62638.61877 -84.254304748 33.887868710
28335049 753928.746 3753117.169 297.083 0.863 0.04758 14.306 62638.61880 -84.254304649 33.887868591
28335050 753928.774 3753117.118 296.937 0.263 0.03730 14.360 62638.61884 -84.254304355 33.887868123
28335051 753928.777 3753117.118 296.789 0.239 0.02702 14.358 62638.61887 -84.254304324 33.887868126
28335052 753928.785 3753117.108 296.641 0.220 0.01673 14.369 62638.61890 -84.254304241 33.887868036
28335053 753928.799 3753117.087 296.493 0.329 0.00645 14.394 62638.61894 -84.254304099 33.887867843
28335054 753928.784 3753117.124 296.346 0.824 -0.00383 14.356 62638.61897 -84.254304254 33.887868178
28335149 753928.817 3753117.277 297.791 0.835 0.09909 13.968 62638.63195 -84.254303851 33.887869543
28335150 753928.819 3753117.278 297.647 0.824 0.08881 13.957 62638.63198 -84.254303827 33.887869555
28335151 753928.824 3753117.274 297.504 0.827 0.07853 13.953 62638.63202 -84.254303771 33.887869514
28335152 753928.835 3753117.258 297.361 0.827 0.06825 13.963 62638.63205 -84.254303659 33.887869371
28335153 753928.84 3753117.255 297.217 0.843 0.05796 13.961 62638.63208 -84.254303609 33.887869339
28335154 753928.838 3753117.265 297.073 0.859 0.04768 13.945 62638.63211 -84.254303630 33.887869433
28335155 753928.858 3753117.231 296.931 0.267 0.03740 13.980 62638.63215 -84.254303423 33.887869121
28335156 753928.865 3753117.222 296.787 0.235 0.02712 13.988 62638.63218 -84.254303348 33.887869043
28335157 753928.88 3753117.198 296.643 0.216 0.01683 14.015 62638.63221 -84.254303192 33.887868821
28335158 753928.887 3753117.19 296.499 0.294 0.00655 14.025 62638.63225 -84.254303119 33.887868750
28335159 753928.887 3753117.196 296.355 0.835 -0.00373 14.022 62638.63228 -84.254303114 33.887868798
28335255 753928.934 3753117.316 297.906 0.333 0.10927 13.681 62638.64523 -84.254302573 33.887869868
28335256 753928.908 3753117.374 297.76 0.843 0.09899 13.604 62638.64526 -84.254302838 33.887870400
28335257 753928.92 3753117.355 297.621 0.812 0.08871 13.616 62638.64529 -84.254302711 33.887870228
28335258 753928.921 3753117.359 297.481 0.820 0.07843 13.603 62638.64533 -84.254302697 33.887870261
28335259 753928.933 3753117.341 297.342 0.769 0.06814 13.616 62638.64536 -84.254302574 33.887870096
28335260 753928.934 3753117.346 297.202 0.761 0.05786 13.605 62638.64539 -84.254302566 33.887870138
28335261 753928.939 3753117.341 297.062 0.847 0.04758 13.606 62638.64542 -84.254302510 33.887870094
28335262 753928.953 3753117.319 296.922 0.263 0.03730 13.628 62638.64546 -84.254302363 33.887869889
28335263 753928.972 3753117.287 296.783 0.247 0.02701 13.662 62638.64549 -84.254302170 33.887869599
28335264 753928.985 3753117.267 296.642 0.231 0.01673 13.684 62638.64552 -84.254302039 33.887869419
28335265 753928.998 3753117.246 296.501 0.275 0.00645 13.709 62638.64555 -84.254301899 33.887869226
28335266 753928.977 3753117.295 296.361 0.839 -0.00383 13.657 62638.64559 -84.254302116 33.887869672
28335365 753929.011 3753117.442 297.87 0.376 0.10927 13.285 62638.65854 -84.254301703 33.887870985
28335366 753928.992 3753117.486 297.729 0.847 0.09899 13.224 62638.65857 -84.254301897 33.887871389
28335367 753929.013 3753117.45 297.596 0.835 0.08870 13.256 62638.65860 -84.254301681 33.887871056
28335368 753929.026 3753117.43 297.461 0.859 0.07842 13.270 62638.65864 -84.254301547 33.887870871
28335369 753929.028 3753117.431 297.324 0.859 0.06814 13.261 62638.65867 -84.254301525 33.887870887
28335370 753929.041 3753117.411 297.189 0.847 0.05786 13.278 62638.65870 -84.254301391 33.887870702
28335371 753929.04 3753117.418 297.052 0.859 0.04758 13.266 62638.65873 -84.254301395 33.887870765
28335372 753929.07 3753117.364 296.917 0.259 0.03729 13.323 62638.65877 -84.254301090 33.887870274
28335373 753929.063 3753117.385 296.779 0.235 0.02701 13.299 62638.65880 -84.254301162 33.887870458
28335374 753929.071 3753117.374 296.643 0.212 0.01673 13.311 62638.65883 -84.254301076 33.887870359
28335375 753929.091 3753117.34 296.505 0.255 0.00645 13.350 62638.65887 -84.254300872 33.887870050
28335376 753929.078 3753117.372 296.369 0.847 -0.00383 13.317 62638.65890 -84.254301004 33.887870342
28335473 753929.095 3753117.555 297.837 0.741 0.10936 12.904 62638.67185 -84.254300766 33.887871980
28335474 753929.101 3753117.547 297.704 0.843 0.09908 12.901 62638.67188 -84.254300699 33.887871915
28335475 753929.108 3753117.54 297.572 0.820 0.08880 12.901 62638.67191 -84.254300630 33.887871844
28335476 753929.12 3753117.521 297.44 0.855 0.07852 12.914 62638.67195 -84.254300501 33.887871669
28335477 753929.133 3753117.501 297.309 0.757 0.06824 12.929 62638.67198 -84.254300372 33.887871490
28335478 753929.135 3753117.503 297.176 0.776 0.05796 12.922 62638.67201 -84.254300348 33.887871502
28335479 753929.144 3753117.491 297.043 0.843 0.04768 12.931 62638.67204 -84.254300258 33.887871394
28335480 753929.14 3753117.503 296.91 0.302 0.03739 12.914 62638.67208 -84.254300291 33.887871508
28335481 753929.156 3753117.478 296.777 0.255 0.02711 12.941 62638.67211 -84.254300131 33.887871276
28335482 753929.169 3753117.456 296.644 0.255 0.01683 12.965 62638.67214 -84.254299991 33.887871079
28335483 753929.185 3753117.432 296.511 0.282 0.00655 12.994 62638.67218 -84.254299833 33.887870851
28335484 753929.182 3753117.442 296.377 0.847 -0.00373 12.985 62638.67221 -84.254299856 33.887870946
28335573 753929.193 3753117.639 297.803 0.808 0.10926 12.554 62638.68516 -84.254299687 33.887872722
28335574 753929.213 3753117.603 297.677 0.851 0.09898 12.584 62638.68519 -84.254299473 33.887872390
28335575 753929.21 3753117.615 297.547 0.855 0.08870 12.562 62638.68523 -84.254299503 33.887872499
28335576 753929.224 3753117.593 297.419 0.863 0.07842 12.579 62638.68526 -84.254299360 33.887872295
28335577 753929.227 3753117.593 297.289 0.855 0.06813 12.572 62638.68529 -84.254299332 33.887872297
28335578 753929.222 3753117.609 297.159 0.859 0.05785 12.549 62638.68532 -84.254299382 33.887872440
28335579 753929.241 3753117.576 297.031 0.855 0.04757 12.582 62638.68536 -84.254299182 33.887872136
28335580 753929.252 3753117.56 296.902 0.859 0.03729 12.597 62638.68539 -84.254299072 33.887871991
28335581 753929.25 3753117.568 296.773 0.859 0.02701 12.587 62638.68542 -84.254299082 33.887872061
28335582 753929.26 3753117.554 296.643 0.859 0.01673 12.602 62638.68545 -84.254298984 33.887871938
28335583 753929.264 3753117.552 296.514 0.855 0.00645 12.606 62638.68549 -84.254298940 33.887871914
28335584 753929.274 3753117.537 296.384 0.855 -0.00383 12.625 62638.68552 -84.254298835 33.887871780
28335669 753929.301 3753117.702 297.774 0.565 0.10925 12.229 62638.69847 -84.254298495 33.887873260
28335670 753929.308 3753117.695 297.648 0.761 0.09897 12.227 62638.69850 -84.254298428 33.887873191
