ID Easting Northing Altitude Retro Angle Distance UTC Long Lat
28440649 754225.851 3752736.695 300.184 0.455 0.03733 45.175 62657.03295 -84.251205345 33.884369410
28440722 754225.948 3752736.725 300.181 0.639 0.03743 44.849 62657.04627 -84.251204291 33.884369659
28440796 754226.028 3752736.774 300.627 0.125 0.04763 44.512 62657.05956 -84.251203412 33.884370079
28440797 754226.044 3752736.767 300.169 0.710 0.03733 44.511 62657.05959 -84.251203241 33.884370015
28440798 754226.057 3752736.79 299.711 0.086 0.02704 44.485 62657.05962 -84.251203096 33.884370219
28440872 754226.124 3752736.814 300.616 0.439 0.04763 44.176 62657.07287 -84.251202359 33.884370419
28440873 754226.139 3752736.817 300.162 0.722 0.03733 44.165 62657.07291 -84.251202196 33.884370444
28440874 754226.152 3752736.844 299.707 0.188 0.02704 44.135 62657.07294 -84.251202056 33.884370684
28440946 754226.222 3752736.846 300.61 0.580 0.04773 43.849 62657.08619 -84.251201295 33.884370678
28440947 754226.235 3752736.869 300.159 0.722 0.03743 43.818 62657.08622 -84.251201152 33.884370884
28440948 754226.249 3752736.879 299.708 0.541 0.02714 43.805 62657.08625 -84.251200998 33.884370971
28441019 754226.3 3752736.925 301.042 0.051 0.05792 43.486 62657.09947 -84.251200430 33.884371372
28441020 754226.319 3752736.885 300.595 0.675 0.04763 43.514 62657.09950 -84.251200233 33.884371009
28441021 754226.335 3752736.878 300.148 0.702 0.03733 43.513 62657.09953 -84.251200065 33.884370947
28441022 754226.345 3752736.922 299.7 0.639 0.02704 43.466 62657.09957 -84.251199941 33.884371338
28441093 754226.398 3752736.964 301.028 0.157 0.05792 43.151 62657.11279 -84.251199364 33.884371701
28441094 754226.418 3752736.912 300.585 0.710 0.04763 43.191 62657.11282 -84.251199158 33.884371231
28441095 754226.431 3752736.932 300.14 0.600 0.03733 43.164 62657.11285 -84.251199014 33.884371404
28441096 754226.442 3752736.965 299.696 0.710 0.02704 43.128 62657.11288 -84.251198882 33.884371698
28441168 754226.496 3752736.994 301.018 0.533 0.05802 42.825 62657.12611 -84.251198289 33.884371951
28441169 754226.517 3752736.943 300.579 0.686 0.04773 42.865 62657.12614 -84.251198084 33.884371481
28441170 754226.528 3752736.974 300.138 0.639 0.03743 42.826 62657.12617 -84.251197952 33.884371762
28441171 754226.539 3752737.008 299.697 0.698 0.02714 42.789 62657.12620 -84.251197822 33.884372066
28441243 754226.595 3752737.032 301.0 0.631 0.05792 42.491 62657.13942 -84.251197215 33.884372272
28441244 754226.613 3752736.997 300.564 0.659 0.04763 42.515 62657.13946 -84.251197025 33.884371946
28441245 754226.624 3752737.034 300.126 0.651 0.03733 42.470 62657.13949 -84.251196899 33.884372281
28441246 754226.638 3752737.04 299.689 0.690 0.02704 42.461 62657.13952 -84.251196745 33.884372334
28441320 754226.697 3752737.041 300.987 0.498 0.05792 42.187 62657.15274 -84.251196114 33.884372324
28441321 754226.71 3752737.055 300.553 0.639 0.04763 42.161 62657.15277 -84.251195968 33.884372449
28441322 754226.722 3752737.081 300.119 0.651 0.03733 42.128 62657.15281 -84.251195832 33.884372676
28441323 754226.734 3752737.099 299.686 0.710 0.02704 42.107 62657.15284 -84.251195690 33.884372837
28441396 754226.797 3752737.065 300.978 0.192 0.05802 41.867 62657.16606 -84.251195025 33.884372520
28441397 754226.806 3752737.111 300.546 0.624 0.04773 41.810 62657.16609 -84.251194907 33.884372925
28441398 754226.821 3752737.113 300.116 0.643 0.03743 41.800 62657.16612 -84.251194753 33.884372947
28441399 754226.832 3752737.14 299.686 0.596 0.02714 41.771 62657.16615 -84.251194619 33.884373180
28441470 754226.907 3752737.139 300.532 0.710 0.04762 41.486 62657.17940 -84.251193817 33.884373159
28441471 754226.918 3752737.17 300.105 0.718 0.03733 41.448 62657.17944 -84.251193686 33.884373432
28441472 754226.928 3752737.209 299.678 0.416 0.02704 41.406 62657.17947 -84.251193564 33.884373782
28441548 754227.003 3752737.205 300.521 0.643 0.04763 41.125 62657.19272 -84.251192755 33.884373724
28441549 754227.015 3752737.232 300.098 0.714 0.03733 41.091 62657.19275 -84.251192624 33.884373964
28441550 754227.034 3752737.184 299.675 0.133 0.02704 41.136 62657.19278 -84.251192430 33.884373533
28441625 754227.105 3752737.27 300.518 0.463 0.04773 40.764 62657.20603 -84.251191636 33.884374293
28441626 754227.117 3752737.294 300.098 0.698 0.03743 40.733 62657.20607 -84.251191501 33.884374504
28441702 754227.227 3752737.343 300.094 0.537 0.03733 40.389 62657.21938 -84.251190294 33.884374921
