Sign_ID ID Easting Northing Altitude Retro Angle Distance UTC Long Lat
0 4282566.0 739943.233 3755837.943 321.257 0.757 0.12997999999999998 17.252 69344.7672 -84.404644995 33.915658723
0 4282567.0 739943.231 3755837.955 321.078 0.761 0.11969 17.224 69344.76723 -84.404645018 33.915658835
0 4282568.0 739943.236 3755837.965 320.9 0.725 0.10941 17.206 69344.76727000001 -84.404644961 33.915658916
0 4282670.0 739943.273 3755838.054 321.228 0.741 0.12987 16.958 69344.78051 -84.404644531 33.915659715
0 4282671.0 739943.266 3755838.069 321.051 0.745 0.11959000000000002 16.925 69344.78053999999 -84.404644607 33.915659847
1 4303362.0 740021.013 3755823.789 322.554 0.745 0.047619999999999996 37.453 69347.41705 -84.403808309 33.915513469000004
1 4303363.0 740021.025 3755823.808 322.169 0.753 0.03733 37.441 69347.41708 -84.403808181 33.91551364
1 4303364.0 740021.028 3755823.832 321.784 0.757 0.027039999999999998 37.424 69347.41711000001 -84.40380813899999 33.915513852
1 4303365.0 740021.06 3755823.84 321.4 0.761 0.01675 37.444 69347.41713999999 -84.403807785 33.915513917
1 4303457.0 740021.012 3755823.905 322.545 0.82 0.047619999999999996 37.12 69347.43036 -84.403808286 33.915514516
1 4303458.0 740021.024 3755823.924 322.164 0.816 0.03733 37.109 69347.43039 -84.403808151 33.915514683000005
1 4303459.0 740021.038 3755823.942 321.782 0.831 0.027039999999999998 37.104 69347.43043 -84.403807995 33.91551484
1 4303460.0 740021.049 3755823.961 321.401 0.831 0.01675 37.099000000000004 69347.43046 -84.403807878 33.915515015
1 4303552.0 740021.008 3755824.023 322.54 0.816 0.04772 36.783 69347.44368 -84.4038083 33.915515581
1 4303553.0 740021.033 3755824.035 322.162 0.812 0.03743 36.787 69347.44371 -84.40380802600001 33.915515681
1 4303554.0 740021.038 3755824.057 321.784 0.831 0.027139999999999997 36.772 69347.44374 -84.40380796699999 33.915515882
1 4303555.0 740021.062 3755824.069 321.406 0.835 0.01685 36.783 69347.44377 -84.403807701 33.915515985
1 4303648.0 740021.009 3755824.139 322.527 0.816 0.047619999999999996 36.451 69347.45698999999 -84.403808263 33.915516629
1 4303649.0 740020.987 3755824.176 322.151 0.8 0.03733 36.402 69347.45702 -84.403808491 33.915516963
1 4303650.0 740021.038 3755824.173 321.778 0.831 0.027039999999999998 36.44 69347.45705 -84.403807935 33.915516929
1 4303651.0 740021.055 3755824.19 321.404 0.82 0.01675 36.442 69347.45709 -84.403807753 33.915517071
1 4303744.0 740021.006 3755824.257 322.518 0.827 0.047619999999999996 36.116 69347.4703 -84.403808257 33.91551769
1 4303745.0 740021.014 3755824.278 322.147 0.808 0.03733 36.101 69347.47034 -84.40380816300001 33.915517873
1 4303746.0 740021.044 3755824.286 321.776 0.839 0.027039999999999998 36.115 69347.47037000001 -84.403807836 33.915517944
1 4303747.0 740021.053 3755824.307 321.405 0.831 0.01675 36.108000000000004 69347.4704 -84.403807742 33.915518125
1 4303840.0 740021.013 3755824.37 322.513 0.835 0.04772 35.791 69347.48361 -84.403808157 33.915518708
1 4303841.0 740021.028 3755824.386 322.145 0.812 0.03743 35.785 69347.48363999999 -84.40380798300001 33.91551885
