Sign_Id,Easting,Northing,Altitude,Retro,Long,Lat,Num_of_Points
0,739943.1282884616,3755837.3355192314,321.1249423076923,0.7365576923076922,-84.40464629303844,33.91565327330769,52
1,740021.0534117647,3755824.468196078,321.90501960784314,0.8125882352941174,-84.4038076887451,33.915519581137254,51
2,740066.0137435896,3755817.360897436,323.94164102564105,0.7669487179487179,-84.40332375564104,33.915445297384615,39
3,740169.6554342106,3755793.4104999993,326.93514473684206,0.838657894736842,-84.40221027625,33.91520587539474,76
4,740213.1217457629,3755778.700711864,329.3739322033898,0.7838305084745765,-84.40174457298306,33.915063428406775,59
5,740255.6287499999,3755755.204657895,330.26753947368417,0.7993947368421053,-84.40129164247368,33.914842037697376,76
6,740255.6972222221,3755755.454222223,331.76133333333337,0.7974920634920636,-84.40129083414286,33.914844270904766,63
7,740256.4317391304,3755757.351728261,330.3198804347826,0.8159565217391304,-84.40128237707609,33.91486119969566,92
8,740256.4763783783,3755757.507756756,331.8966216216216,0.814,-84.4012818511892,33.91486259468918,74
9,740293.0498636364,3755748.6409545452,330.73927272727275,0.7901818181818182,-84.40088904068182,33.914774363409094,22
10,740416.0208043477,3755694.627239131,332.13923913043476,0.8081086956521738,-84.39957492723913,33.914259643130436,46
11,740473.4979268293,3755670.1708048778,331.00436585365856,0.8132195121951219,-84.39896049419514,33.91402617343902,41
12,740597.6003928572,3755629.4346964285,329.6931785714286,0.7977678571428573,-84.39763053766072,33.91363080423214,56
13,740597.5673725491,3755629.370784315,328.05727450980396,0.7937450980392159,-84.39763091286274,33.91363023672549,51
14,740598.1850113636,3755631.5314204544,329.30540909090905,0.8048409090909092,-84.39762364662501,33.91364956203409,88
15,740598.1153636364,3755631.50575,327.7634318181818,0.7831590909090909,-84.39762440640908,33.91364934604545,44
16,740685.2413181817,3755619.520068183,325.0140227272727,0.7879090909090909,-84.39668616584093,33.913521448863634,44
17,740808.7185119049,3755603.4826071435,320.3788571428571,0.7889999999999999,-84.3953562120476,33.91334872690476,84
18,740837.5357719298,3755597.0468859654,320.3630087719298,0.8258859649122807,-84.39504656550876,33.913284152578946,114
19,740837.527520548,3755597.0357397255,318.7748493150685,0.8285616438356165,-84.39504665775343,33.91328405372603,73
20,740837.7899534883,3755599.022899225,320.3612093023256,0.8369379844961241,-84.39504327671318,33.91330189755039,129
21,740837.8008555556,3755598.9971333332,318.80535555555554,0.8382777777777777,-84.39504316593333,33.91330166307778,90
22,740837.9344318182,3755600.2468863633,320.24270454545456,0.8362499999999998,-84.39504137993181,33.91331289188636,44
23,740837.9578214285,3755600.2423214284,318.74692857142855,0.8481785714285716,-84.39504112853572,33.91331284567857,28
24,741386.4500161291,3755526.7763387095,304.3377741935484,0.800241935483871,-84.38913410008064,33.912525356854836,62
25,741386.5303999999,3755528.0326000005,304.37665,0.8122,-84.38913288705,33.91253665735,20
26,741491.3219701493,3755514.5829253737,303.4624925373134,0.8008955223880596,-84.38800417853733,33.91239145477612,67
27,741584.3542340427,3755505.799404256,302.895914893617,0.8437340425531915,-84.38700126509575,33.91229098038298,94
28,741736.5383086419,3755493.522271605,301.1463950617284,0.8319382716049383,-84.38536010928395,33.91214544511111,81
29,741911.2191032259,3755487.545716129,305.28176129032255,0.8015483870967742,-84.38347412195483,33.91205148642581,155
30,741911.3617861634,3755487.5785849066,303.4011698113208,0.8082578616352203,-84.3834725711258,33.91205175020126,159
31,741911.3892999999,3755487.32775,302.3952499999999,0.8048,-84.3834723441,33.91204948335,20
32,741911.4100647059,3755489.4694470596,305.27067058823525,0.7937058823529413,-84.38347152877058,33.912068774764705,170
33,741911.5927256637,3755489.7766769915,303.1435132743363,0.795561946902655,-84.38346947020797,33.91207150072124,226
34,741911.4682857143,3755489.0284523806,304.0713095238095,0.8046666666666666,-84.38347102114284,33.912064788047616,42
35,741911.6741449274,3755490.9101159424,303.6471594202898,0.7766086956521739,-84.38346827786957,33.9120816943768,69
36,741911.7915,3755491.1478055557,302.57644444444446,0.7789444444444444,-84.38346694344446,33.91208380827778,36
37,742091.320173913,3755469.254739131,296.74365217391306,0.7652608695652175,-84.38153296456521,33.91184530556522,23
38,742050.0934782609,3755487.905043478,294.3771739130435,0.752608695652174,-84.38197332456522,33.91202281404347,23
39,742055.4023518519,3755486.8472407404,294.74016666666665,0.7661111111111112,-84.38191624596296,33.91201206333332,54
40,742055.7521206896,3755488.70137931,294.6291034482759,0.7661724137931035,-84.38191195582759,33.91202868810345,58
41,742068.4790909091,3755487.326118182,296.5442818181818,0.7931545454545454,-84.38177480467272,33.912013372181825,110
42,742129.598107143,3755465.466714286,296.3304642857143,0.7400714285714285,-84.38112037228571,33.9118023765,28
43,742156.484,3755488.31075,294.6560416666667,0.8468750000000002,-84.380823539375,33.912002010875,24
44,742308.4760281692,3755495.6856197184,295.4114084507042,0.7340140845070423,-84.37917905760561,33.91203349470423,71
45,742312.7539000001,3755494.873033333,292.7458666666667,0.7493666666666667,-84.37913305446668,33.912025187999994,30
46,742336.5658,3755494.9858,289.79116,0.7614399999999999,-84.37887570916,33.91202072644,25
47,742571.3868596492,3755480.566280702,291.24815789473683,0.814421052631579,-84.37634218843858,33.911836749736835,57
48,742753.9955531915,3755447.6611914886,293.87810638297873,0.8130851063829789,-84.37437800304255,33.91149821244681,47
49,742941.6804954128,3755420.395376147,304.78849541284404,0.7907614678899085,-84.37235742099082,33.911209280183485,109
50,742941.8406028037,3755420.7157990653,302.9226308411215,0.7916542056074766,-84.37235560160748,33.91121213007477,214
