Sign_ID,ID,Easting,Northing,Altitude,Retro,Angle,Distance,UTC,Long,Lat
0,28242415,753618.96,3753376.966,292.849,0.082,-0.00384,32.495,62622.00203,-84.257576,33.89028361
0,28242416,753618.934,3753377.032,292.517,0.071,-0.01413,32.433,62622.00206,-84.25757626,33.89028421
0,28242481,753619.036,3753376.952,295.847,0.027,0.08888,32.316,62622.01504,-84.25757518,33.89028346
0,28242482,753619.014,3753377.011,295.51,0.086,0.07859,32.231,62622.01508,-84.2575754,33.890284
0,28242483,753618.995,3753377.065,295.175,0.114,0.0683,32.155,62622.01511,-84.2575756,33.89028449
0,28242484,753619.032,3753377.006,294.847,0.173,0.05801,32.209,62622.01514,-84.25757521,33.89028395
0,28242485,753619.058,3753376.97,294.516,0.243,0.04772,32.24,62622.01518,-84.25757495,33.89028362
0,28242486,753619.058,3753376.985,294.184,0.231,0.03743,32.218,62622.01521,-84.25757494,33.89028376
0,28242487,753619.079,3753376.957,293.853,0.255,0.02714,32.247,62622.01524,-84.25757472,33.8902835
0,28242488,753619.051,3753377.027,293.522,0.231,0.01685,32.17,62622.01527,-84.257575,33.89028414
0,28242489,753619.068,3753377.009,293.19,0.145,0.00655,32.195,62622.01531,-84.25757482,33.89028397
0,28242490,753619.054,3753377.052,292.86,0.098,-0.00374,32.155,62622.01534,-84.25757496,33.89028436
0,28242491,753619.053,3753377.068,292.529,0.094,-0.01403,32.149,62622.01537,-84.25757496,33.8902845
0,28242492,753619.096,3753376.999,292.195,0.035,-0.02432,32.241,62622.0154,-84.25757452,33.89028388
0,28242560,753619.103,3753377.095,295.815,0.051,0.08878,31.911,62622.02836,-84.25757442,33.89028474
0,28242561,753619.124,3753377.068,295.488,0.098,0.07849,31.924,62622.02839,-84.2575742,33.89028449
0,28242562,753619.133,3753377.065,295.16,0.149,0.0682,31.912,62622.02842,-84.2575741,33.89028446
0,28242563,753619.172,3753377.003,294.834,0.259,0.05791,31.969,62622.02845,-84.2575737,33.89028389
0,28242564,753619.168,3753377.025,294.504,0.443,0.04762,31.935,62622.02849,-84.25757373,33.89028409
0,28242565,753619.176,3753377.026,294.176,0.447,0.03733,31.929,62622.02852,-84.25757366,33.8902841
0,28242566,753619.182,3753377.029,293.847,0.447,0.02704,31.924,62622.02855,-84.25757359,33.89028412
0,28242567,753619.19,3753377.026,293.519,0.478,0.01674,31.928,62622.02858,-84.2575735,33.8902841
0,28242568,753619.184,3753377.053,293.19,0.192,0.00645,31.902,62622.02862,-84.25757356,33.89028434
0,28242569,753619.188,3753377.061,292.862,0.11,-0.00384,31.902,62622.02865,-84.25757351,33.89028441
0,28242570,753619.213,3753377.025,292.532,0.09,-0.01413,31.954,62622.02868,-84.25757325,33.89028408
0,28242571,753619.195,3753377.075,292.206,0.067,-0.02442,31.912,62622.02872,-84.25757343,33.89028454
0,28242640,753619.182,3753377.198,296.115,0.055,0.09907,31.574,62622.04163,-84.25757353,33.89028565
0,28242641,753619.198,3753377.182,295.791,0.031,0.08878,31.571,62622.04167,-84.25757337,33.8902855
0,28242642,753619.212,3753377.17,295.467,0.078,0.07849,31.566,62622.0417,-84.25757322,33.89028539
0,28242643,753619.238,3753377.132,295.144,0.145,0.0682,31.593,62622.04173,-84.25757295,33.89028504
0,28242644,753619.273,3753377.078,294.821,0.745,0.05791,31.642,62622.04176,-84.25757259,33.89028454
0,28242645,753619.273,3753377.093,294.495,0.812,0.04762,31.616,62622.0418,-84.25757259,33.89028468
0,28242646,753619.291,3753377.072,294.17,0.824,0.03733,31.634,62622.04183,-84.2575724,33.89028449
0,28242647,753619.291,3753377.086,293.844,0.831,0.02704,31.616,62622.04186,-84.25757239,33.89028462
0,28242648,753619.294,3753377.095,293.519,0.835,0.01675,31.607,62622.0419,-84.25757236,33.8902847
