ID Easting Northing Altitude Retro Angle Distance UTC Long Lat
28241825 753617.991 3753376.601 294.524 0.059 0.04772 34.838 62621.89540 -84.257586571 33.890280559
28241826 753618.015 3753376.571 294.166 0.059 0.03743 34.867 62621.89544 -84.257586319 33.890280275
28241899 753618.194 3753376.476 294.526 0.071 0.04762 34.736 62621.90871 -84.257584415 33.890279379
28241900 753618.228 3753376.425 294.17 0.067 0.03733 34.788 62621.90874 -84.257584059 33.890278909
28241901 753618.179 3753376.539 293.811 0.031 0.02704 34.658 62621.90877 -84.257584563 33.890279950
28241902 753618.232 3753376.45 293.454 0.027 0.01675 34.759 62621.90881 -84.257584011 33.890279140
28241971 753618.231 3753376.662 294.875 0.059 0.05791 34.294 62621.92199 -84.257583964 33.890281044
28241972 753618.245 3753376.649 294.522 0.059 0.04762 34.299 62621.92202 -84.257583810 33.890280927
28241973 753618.265 3753376.627 294.17 0.059 0.03733 34.318 62621.92205 -84.257583608 33.890280726
28241974 753618.306 3753376.562 293.818 0.071 0.02704 34.389 62621.92208 -84.257583182 33.890280130
28241975 753618.283 3753376.623 293.464 0.071 0.01675 34.322 62621.92212 -84.257583410 33.890280687
28242044 753618.429 3753376.546 294.883 0.082 0.05801 34.181 62621.93530 -84.257581860 33.890279955
28242045 753618.379 3753376.66 294.527 0.063 0.04772 34.044 62621.93533 -84.257582363 33.890280994
28242046 753618.413 3753376.61 294.178 0.071 0.03743 34.095 62621.93536 -84.257582014 33.890280532
28242047 753618.353 3753376.744 293.826 0.098 0.02714 33.942 62621.93539 -84.257582626 33.890281760
28242048 753618.42 3753376.627 293.476 0.082 0.01685 34.075 62621.93543 -84.257581928 33.890280687
28242049 753618.349 3753376.783 293.128 0.051 0.00656 33.906 62621.93546 -84.257582649 33.890282104
28242116 753618.448 3753376.768 295.215 0.047 0.06820 33.702 62621.94857 -84.257581591 33.890281950
28242117 753618.424 3753376.831 294.866 0.086 0.05791 33.619 62621.94860 -84.257581830 33.890282521
28242118 753618.491 3753376.714 294.524 0.110 0.04762 33.741 62621.94864 -84.257581136 33.890281451
28242119 753618.498 3753376.716 294.176 0.094 0.03733 33.733 62621.94867 -84.257581061 33.890281470
28242120 753618.482 3753376.764 293.829 0.098 0.02704 33.677 62621.94870 -84.257581225 33.890281908
28242121 753618.523 3753376.699 293.482 0.094 0.01675 33.752 62621.94873 -84.257580799 33.890281309
28242122 753618.571 3753376.62 293.134 0.090 0.00645 33.846 62621.94877 -84.257580299 33.890280583
28242123 753618.624 3753376.531 292.783 0.055 -0.00384 33.954 62621.94880 -84.257579752 33.890279774
28242189 753618.547 3753376.848 295.208 0.059 0.06820 33.369 62621.96188 -84.257580500 33.890282651
28242190 753618.568 3753376.821 294.865 0.086 0.05791 33.387 62621.96191 -84.257580274 33.890282400
28242191 753618.617 3753376.74 294.524 0.086 0.04762 33.469 62621.96194 -84.257579767 33.890281658
28242192 753618.608 3753376.773 294.179 0.106 0.03733 33.426 62621.96198 -84.257579853 33.890281960
28242193 753618.622 3753376.762 293.836 0.090 0.02704 33.437 62621.96201 -84.257579708 33.890281853
28242194 753618.601 3753376.819 293.492 0.110 0.01675 33.375 62621.96204 -84.257579917 33.890282369
28242195 753618.632 3753376.774 293.148 0.078 0.00645 33.430 62621.96207 -84.257579601 33.890281961
28242196 753618.694 3753376.668 292.801 0.043 -0.00384 33.558 62621.96211 -84.257578960 33.890280986
28242262 753618.631 3753376.957 295.201 0.075 0.06830 33.005 62621.97518 -84.257579555 33.890283607
28242263 753618.689 3753376.857 294.866 0.098 0.05801 33.104 62621.97522 -84.257578954 33.890282696
28242264 753618.708 3753376.836 294.526 0.141 0.04772 33.119 62621.97525 -84.257578758 33.890282499
28242265 753618.712 3753376.844 294.185 0.122 0.03743 33.104 62621.97528 -84.257578718 33.890282574
28242266 753618.735 3753376.815 293.845 0.129 0.02714 33.135 62621.97532 -84.257578478 33.890282302
28242267 753618.73 3753376.839 293.504 0.114 0.01685 33.109 62621.97535 -84.257578521 33.890282525
28242268 753618.737 3753376.841 293.164 0.078 0.00656 33.112 62621.97538 -84.257578446 33.890282539
28242269 753618.772 3753376.788 292.821 0.071 -0.00374 33.180 62621.97541 -84.257578086 33.890282053
28242334 753618.778 3753376.927 295.534 0.063 0.07849 32.811 62621.98846 -84.257577976 33.890283307
28242335 753618.791 3753376.918 295.197 0.110 0.06820 32.806 62621.98849 -84.257577842 33.890283217
28242336 753618.773 3753376.968 294.857 0.106 0.05791 32.737 62621.98852 -84.257578020 33.890283675
28242337 753618.828 3753376.874 294.523 0.114 0.04762 32.834 62621.98855 -84.257577448 33.890282811
28242338 753618.806 3753376.933 294.184 0.141 0.03733 32.762 62621.98859 -84.257577670 33.890283350
28242339 753618.834 3753376.894 293.847 0.153 0.02704 32.804 62621.98862 -84.257577383 33.890282990
28242340 753618.843 3753376.891 293.51 0.137 0.01675 32.809 62621.98865 -84.257577283 33.890282960
28242341 753618.85 3753376.893 293.172 0.110 0.00645 32.811 62621.98868 -84.257577214 33.890282982
28242342 753618.861 3753376.886 292.835 0.078 -0.00384 32.828 62621.98872 -84.257577089 33.890282909
28242343 753618.873 3753376.878 292.496 0.063 -0.01413 32.849 62621.98875 -84.257576963 33.890282834
28242407 753618.931 3753376.902 295.529 0.106 0.07849 32.597 62622.00177 -84.257576334 33.890283039
28242408 753618.887 3753377.004 295.187 0.094 0.06820 32.466 62622.00180 -84.257576783 33.890283974
28242409 753618.911 3753376.971 294.855 0.137 0.05791 32.491 62622.00183 -84.257576528 33.890283669
28242410 753618.943 3753376.923 294.522 0.165 0.04762 32.536 62622.00186 -84.257576197 33.890283228
28242411 753618.947 3753376.93 294.187 0.180 0.03733 32.523 62622.00190 -84.257576147 33.890283287
28242412 753618.94 3753376.96 293.852 0.157 0.02704 32.487 62622.00193 -84.257576222 33.890283562
28242413 753618.936 3753376.983 293.518 0.157 0.01675 32.463 62622.00196 -84.257576258 33.890283767
28242414 753618.953 3753376.964 293.184 0.125 0.00645 32.489 62622.00199 -84.257576078 33.890283593
28242415 753618.96 3753376.966 292.849 0.082 -0.00384 32.495 62622.00203 -84.257576004 33.890283609
28242416 753618.934 3753377.032 292.517 0.071 -0.01413 32.433 62622.00206 -84.257576263 33.890284208
28242481 753619.036 3753376.952 295.847 0.027 0.08888 32.316 62622.01504 -84.257575179 33.890283464
28242482 753619.014 3753377.011 295.51 0.086 0.07859 32.231 62622.01508 -84.257575403 33.890284004
28242483 753618.995 3753377.065 295.175 0.114 0.06830 32.155 62622.01511 -84.257575599 33.890284493
28242484 753619.032 3753377.006 294.847 0.173 0.05801 32.209 62622.01514 -84.257575212 33.890283952
28242485 753619.058 3753376.97 294.516 0.243 0.04772 32.240 62622.01518 -84.257574945 33.890283624
28242486 753619.058 3753376.985 294.184 0.231 0.03743 32.218 62622.01521 -84.257574940 33.890283757
28242487 753619.079 3753376.957 293.853 0.255 0.02714 32.247 62622.01524 -84.257574715 33.890283503
28242488 753619.051 3753377.027 293.522 0.231 0.01685 32.170 62622.01527 -84.257574996 33.890284139
28242489 753619.068 3753377.009 293.19 0.145 0.00655 32.195 62622.01531 -84.257574819 33.890283971
28242490 753619.054 3753377.052 292.86 0.098 -0.00374 32.155 62622.01534 -84.257574961 33.890284362
28242491 753619.053 3753377.068 292.529 0.094 -0.01403 32.149 62622.01537 -84.257574961 33.890284503
28242492 753619.096 3753376.999 292.195 0.035 -0.02432 32.241 62622.01540 -84.257574523 33.890283875
28242560 753619.103 3753377.095 295.815 0.051 0.08878 31.911 62622.02836 -84.257574419 33.890284740
28242561 753619.124 3753377.068 295.488 0.098 0.07849 31.924 62622.02839 -84.257574196 33.890284486
28242562 753619.133 3753377.065 295.16 0.149 0.06820 31.912 62622.02842 -84.257574099 33.890284456
28242563 753619.172 3753377.003 294.834 0.259 0.05791 31.969 62622.02845 -84.257573699 33.890283891
28242564 753619.168 3753377.025 294.504 0.443 0.04762 31.935 62622.02849 -84.257573733 33.890284094
28242565 753619.176 3753377.026 294.176 0.447 0.03733 31.929 62622.02852 -84.257573655 33.890284097
28242566 753619.182 3753377.029 293.847 0.447 0.02704 31.924 62622.02855 -84.257573589 33.890284120
28242567 753619.19 3753377.026 293.519 0.478 0.01674 31.928 62622.02858 -84.257573496 33.890284097
28242568 753619.184 3753377.053 293.19 0.192 0.00645 31.902 62622.02862 -84.257573556 33.890284344
28242569 753619.188 3753377.061 292.862 0.110 -0.00384 31.902 62622.02865 -84.257573513 33.890284408
28242570 753619.213 3753377.025 292.532 0.090 -0.01413 31.954 62622.02868 -84.257573245 33.890284077
28242571 753619.195 3753377.075 292.206 0.067 -0.02442 31.912 62622.02872 -84.257573426 33.890284537
28242640 753619.182 3753377.198 296.115 0.055 0.09907 31.574 62622.04163 -84.257573531 33.890285649
28242641 753619.198 3753377.182 295.791 0.031 0.08878 31.571 62622.04167 -84.257573367 33.890285499
28242642 753619.212 3753377.17 295.467 0.078 0.07849 31.566 62622.04170 -84.257573224 33.890285386
28242643 753619.238 3753377.132 295.144 0.145 0.06820 31.593 62622.04173 -84.257572949 33.890285039
28242644 753619.273 3753377.078 294.821 0.745 0.05791 31.642 62622.04176 -84.257572588 33.890284540
28242645 753619.273 3753377.093 294.495 0.812 0.04762 31.616 62622.04180 -84.257572586 33.890284678
28242646 753619.291 3753377.072 294.17 0.824 0.03733 31.634 62622.04183 -84.257572399 33.890284486
28242647 753619.291 3753377.086 293.844 0.831 0.02704 31.616 62622.04186 -84.257572393 33.890284615
28242648 753619.294 3753377.095 293.519 0.835 0.01675 31.607 62622.04190 -84.257572360 33.890284696
28242649 753619.3 3753377.097 293.194 0.353 0.00645 31.610 62622.04193 -84.257572288 33.890284708
28242650 753619.287 3753377.137 292.87 0.141 -0.00384 31.573 62622.04196 -84.257572417 33.890285073
28242651 753619.338 3753377.052 292.541 0.118 -0.01413 31.680 62622.04199 -84.257571895 33.890284293
28242652 753619.348 3753377.046 292.215 0.071 -0.02442 31.701 62622.04203 -84.257571785 33.890284240
28242720 753619.32 3753377.186 296.424 0.110 0.10946 31.370 62622.05491 -84.257572044 33.890285504
28242721 753619.375 3753377.092 296.108 0.071 0.09917 31.450 62622.05494 -84.257571481 33.890284646
28242722 753619.319 3753377.218 295.774 0.086 0.08888 31.286 62622.05498 -84.257572053 33.890285797
28242723 753619.333 3753377.205 295.453 0.098 0.07859 31.283 62622.05501 -84.257571907 33.890285676
28242724 753619.356 3753377.174 295.132 0.165 0.06830 31.303 62622.05504 -84.257571666 33.890285388
28242725 753619.363 3753377.175 294.81 0.745 0.05801 31.290 62622.05507 -84.257571592 33.890285394
28242726 753619.384 3753377.146 294.489 0.827 0.04772 31.313 62622.05511 -84.257571366 33.890285133
28242727 753619.38 3753377.169 294.166 0.808 0.03743 31.282 62622.05514 -84.257571406 33.890285340
28242728 753619.387 3753377.17 293.845 0.796 0.02714 31.279 62622.05517 -84.257571332 33.890285347
28242729 753619.401 3753377.157 293.523 0.839 0.01685 31.295 62622.05520 -84.257571185 33.890285225
28242730 753619.402 3753377.17 293.201 0.443 0.00655 31.285 62622.05524 -84.257571172 33.890285341
28242731 753619.408 3753377.171 292.879 0.212 -0.00374 31.292 62622.05527 -84.257571098 33.890285347
28242732 753619.428 3753377.147 292.556 0.204 -0.01403 31.330 62622.05530 -84.257570896 33.890285127
28242733 753619.423 3753377.17 292.234 0.192 -0.02432 31.318 62622.05534 -84.257570938 33.890285340
28242734 753619.429 3753377.173 291.911 0.180 -0.03461 31.333 62622.05537 -84.257570873 33.890285362
28242801 753619.437 3753377.23 296.394 0.102 0.10936 31.076 62622.06822 -84.257570769 33.890285876
28242802 753619.407 3753377.305 296.066 0.094 0.09907 30.967 62622.06825 -84.257571076 33.890286556
28242803 753619.412 3753377.309 295.747 0.063 0.08878 30.941 62622.06828 -84.257571018 33.890286590
28242804 753619.446 3753377.256 295.432 0.118 0.07849 30.983 62622.06832 -84.257570665 33.890286103
28242805 753619.449 3753377.264 295.112 0.153 0.06820 30.959 62622.06835 -84.257570629 33.890286174
28242806 753619.472 3753377.234 294.795 0.757 0.05791 30.981 62622.06838 -84.257570395 33.890285897
28242807 753619.476 3753377.239 294.476 0.831 0.04762 30.966 62622.06841 -84.257570347 33.890285947
