ID Easting Northing Altitude Retro Angle Distance UTC Long Lat
28356475 754011.695 3753041.196 297.855 0.043 0.05788 17.789 62642.95960 -84.253430580 33.887164185
28356476 754011.669 3753041.267 297.67 0.059 0.04759 17.707 62642.95964 -84.253430840 33.887164836
28356477 754011.626 3753041.377 297.487 0.078 0.03731 17.585 62642.95967 -84.253431281 33.887165835
28356478 754011.651 3753041.337 297.306 0.043 0.02702 17.630 62642.95970 -84.253431018 33.887165467
28356543 754011.747 3753041.355 298.02 0.063 0.06816 17.365 62642.97289 -84.253429981 33.887165607
28356544 754011.757 3753041.348 297.842 0.071 0.05788 17.368 62642.97292 -84.253429874 33.887165541
28356545 754011.769 3753041.337 297.664 0.094 0.04759 17.377 62642.97295 -84.253429750 33.887165441
28356546 754011.781 3753041.326 297.485 0.106 0.03731 17.388 62642.97299 -84.253429623 33.887165337
28356547 754011.788 3753041.324 297.306 0.075 0.02702 17.391 62642.97302 -84.253429540 33.887165317
28356612 754011.849 3753041.404 298.185 0.078 0.07855 17.064 62642.98617 -84.253428863 33.887166028
28356613 754011.837 3753041.446 298.007 0.086 0.06826 17.012 62642.98620 -84.253428984 33.887166403
28356614 754011.858 3753041.414 297.834 0.114 0.05798 17.042 62642.98624 -84.253428763 33.887166112
28356615 754011.915 3753041.305 297.661 0.196 0.04769 17.159 62642.98627 -84.253428180 33.887165118
28356616 754011.911 3753041.328 297.484 0.216 0.03741 17.133 62642.98630 -84.253428214 33.887165322
28356617 754011.87 3753041.432 297.308 0.102 0.02712 17.019 62642.98634 -84.253428629 33.887166269
28356618 754011.886 3753041.41 297.133 0.078 0.01684 17.045 62642.98637 -84.253428457 33.887166073
28356683 754011.922 3753041.432 299.383 0.067 0.15044 16.875 62642.99926 -84.253428065 33.887166258
28356685 754011.928 3753041.506 298.336 0.055 0.08873 16.707 62642.99945 -84.253427982 33.887166925
28356686 754011.972 3753041.423 298.169 0.071 0.07845 16.790 62642.99949 -84.253427524 33.887166167
28356687 754011.973 3753041.436 297.996 0.118 0.06816 16.769 62642.99952 -84.253427515 33.887166287
28356688 754011.994 3753041.404 297.825 0.212 0.05788 16.800 62642.99955 -84.253427292 33.887165990
28356689 754012.013 3753041.377 297.653 0.753 0.04759 16.826 62642.99959 -84.253427097 33.887165747
