ID Easting Northing Altitude Retro Angle Distance UTC Long Lat
28335257 753928.92 3753117.355 297.621 0.812 0.08871 13.616 62638.64529 -84.254302711 33.887870228
28335258 753928.921 3753117.359 297.481 0.820 0.07843 13.603 62638.64533 -84.254302697 33.887870261
28335259 753928.933 3753117.341 297.342 0.769 0.06814 13.616 62638.64536 -84.254302574 33.887870096
28335260 753928.934 3753117.346 297.202 0.761 0.05786 13.605 62638.64539 -84.254302566 33.887870138
28335261 753928.939 3753117.341 297.062 0.847 0.04758 13.606 62638.64542 -84.254302510 33.887870094
28335262 753928.953 3753117.319 296.922 0.263 0.03730 13.628 62638.64546 -84.254302363 33.887869889
28335263 753928.972 3753117.287 296.783 0.247 0.02701 13.662 62638.64549 -84.254302170 33.887869599
28335264 753928.985 3753117.267 296.642 0.231 0.01673 13.684 62638.64552 -84.254302039 33.887869419
28335265 753928.998 3753117.246 296.501 0.275 0.00645 13.709 62638.64555 -84.254301899 33.887869226
28335366 753928.992 3753117.486 297.729 0.847 0.09899 13.224 62638.65857 -84.254301897 33.887871389
28335367 753929.013 3753117.45 297.596 0.835 0.08870 13.256 62638.65860 -84.254301681 33.887871056
28335368 753929.026 3753117.43 297.461 0.859 0.07842 13.270 62638.65864 -84.254301547 33.887870871
28335369 753929.028 3753117.431 297.324 0.859 0.06814 13.261 62638.65867 -84.254301525 33.887870887
28335370 753929.041 3753117.411 297.189 0.847 0.05786 13.278 62638.65870 -84.254301391 33.887870702
28335371 753929.04 3753117.418 297.052 0.859 0.04758 13.266 62638.65873 -84.254301395 33.887870765
28335372 753929.07 3753117.364 296.917 0.259 0.03729 13.323 62638.65877 -84.254301090 33.887870274
28335373 753929.063 3753117.385 296.779 0.235 0.02701 13.299 62638.65880 -84.254301162 33.887870458
28335374 753929.071 3753117.374 296.643 0.212 0.01673 13.311 62638.65883 -84.254301076 33.887870359
28335375 753929.091 3753117.34 296.505 0.255 0.00645 13.350 62638.65887 -84.254300872 33.887870050
28335474 753929.101 3753117.547 297.704 0.843 0.09908 12.901 62638.67188 -84.254300699 33.887871915
28335475 753929.108 3753117.54 297.572 0.820 0.08880 12.901 62638.67191 -84.254300630 33.887871844
28335476 753929.12 3753117.521 297.44 0.855 0.07852 12.914 62638.67195 -84.254300501 33.887871669
28335477 753929.133 3753117.501 297.309 0.757 0.06824 12.929 62638.67198 -84.254300372 33.887871490
28335478 753929.135 3753117.503 297.176 0.776 0.05796 12.922 62638.67201 -84.254300348 33.887871502
28335479 753929.144 3753117.491 297.043 0.843 0.04768 12.931 62638.67204 -84.254300258 33.887871394
28335480 753929.14 3753117.503 296.91 0.302 0.03739 12.914 62638.67208 -84.254300291 33.887871508
28335481 753929.156 3753117.478 296.777 0.255 0.02711 12.941 62638.67211 -84.254300131 33.887871276
28335482 753929.169 3753117.456 296.644 0.255 0.01683 12.965 62638.67214 -84.254299991 33.887871079
28335483 753929.185 3753117.432 296.511 0.282 0.00655 12.994 62638.67218 -84.254299833 33.887870851
28335574 753929.213 3753117.603 297.677 0.851 0.09898 12.584 62638.68519 -84.254299473 33.887872390
28335575 753929.21 3753117.615 297.547 0.855 0.08870 12.562 62638.68523 -84.254299503 33.887872499
28335576 753929.224 3753117.593 297.419 0.863 0.07842 12.579 62638.68526 -84.254299360 33.887872295
28335577 753929.227 3753117.593 297.289 0.855 0.06813 12.572 62638.68529 -84.254299332 33.887872297
28335578 753929.222 3753117.609 297.159 0.859 0.05785 12.549 62638.68532 -84.254299382 33.887872440
28335579 753929.241 3753117.576 297.031 0.855 0.04757 12.582 62638.68536 -84.254299182 33.887872136
28335580 753929.252 3753117.56 296.902 0.859 0.03729 12.597 62638.68539 -84.254299072 33.887871991
28335581 753929.25 3753117.568 296.773 0.859 0.02701 12.587 62638.68542 -84.254299082 33.887872061
28335582 753929.26 3753117.554 296.643 0.859 0.01673 12.602 62638.68545 -84.254298984 33.887871938
28335583 753929.264 3753117.552 296.514 0.855 0.00645 12.606 62638.68549 -84.254298940 33.887871914
