ID Easting Northing Altitude Retro Angle Distance UTC Long Lat
28356689 754012.013 3753041.377 297.653 0.753 0.04759 16.826 62642.99959 -84.253427097 33.887165747
28356766 754012.098 3753041.464 297.821 0.757 0.05788 16.480 62643.01287 -84.253426156 33.887166510
28356767 754012.096 3753041.482 297.651 0.792 0.04759 16.458 62643.01291 -84.253426166 33.887166666
28356768 754012.1 3753041.488 297.482 0.796 0.03731 16.450 62643.01294 -84.253426126 33.887166721
28356847 754012.18 3753041.558 297.983 0.745 0.06826 16.129 62643.02615 -84.253425238 33.887167329
28356848 754012.182 3753041.569 297.817 0.796 0.05797 16.112 62643.02619 -84.253425221 33.887167429
28356849 754012.185 3753041.575 297.651 0.792 0.04769 16.102 62643.02622 -84.253425184 33.887167487
28356850 754012.187 3753041.585 297.485 0.616 0.03741 16.090 62643.02625 -84.253425163 33.887167576
28356851 754012.19 3753041.592 297.32 0.792 0.02712 16.083 62643.02628 -84.253425127 33.887167637
28356927 754012.269 3753041.639 298.136 0.757 0.07844 15.792 62643.03943 -84.253424261 33.887168045
28356928 754012.27 3753041.649 297.973 0.761 0.06816 15.775 62643.03947 -84.253424239 33.887168132
28356929 754012.261 3753041.683 297.809 0.435 0.05787 15.733 62643.03950 -84.253424331 33.887168442
28356930 754012.275 3753041.665 297.648 0.573 0.04759 15.750 62643.03953 -84.253424181 33.887168276
28356931 754012.274 3753041.682 297.486 0.745 0.03730 15.730 62643.03957 -84.253424194 33.887168430
28356932 754012.282 3753041.676 297.324 0.792 0.02702 15.737 62643.03960 -84.253424100 33.887168375
28356933 754012.279 3753041.698 297.163 0.745 0.01673 15.716 62643.03963 -84.253424133 33.887168566
28357010 754012.346 3753041.747 298.281 0.761 0.08872 15.428 62643.05272 -84.253423397 33.887168995
28357011 754012.342 3753041.769 298.121 0.796 0.07844 15.396 62643.05275 -84.253423435 33.887169196
28357012 754012.353 3753041.758 297.963 0.788 0.06815 15.402 62643.05278 -84.253423319 33.887169095
28357013 754012.358 3753041.76 297.805 0.608 0.05787 15.395 62643.05282 -84.253423264 33.887169114
28357014 754012.359 3753041.772 297.647 0.792 0.04759 15.380 62643.05285 -84.253423251 33.887169214
28357015 754012.365 3753041.771 297.489 0.792 0.03730 15.380 62643.05288 -84.253423182 33.887169204
28357016 754012.366 3753041.781 297.33 0.745 0.02702 15.369 62643.05291 -84.253423166 33.887169298
28357017 754012.363 3753041.802 297.173 0.796 0.01673 15.348 62643.05295 -84.253423198 33.887169487
28357018 754012.362 3753041.815 297.015 0.733 0.00645 15.337 62643.05298 -84.253423197 33.887169608
28357094 754012.428 3753041.844 298.422 0.765 0.09910 15.076 62643.06600 -84.253422480 33.887169852
28357095 754012.434 3753041.844 298.267 0.749 0.08882 15.068 62643.06603 -84.253422416 33.887169850
28357096 754012.438 3753041.848 298.111 0.788 0.07854 15.056 62643.06606 -84.253422372 33.887169886
28357097 754012.441 3753041.854 297.956 0.796 0.06825 15.044 62643.06609 -84.253422335 33.887169935
28357098 754012.442 3753041.865 297.801 0.800 0.05797 15.027 62643.06613 -84.253422324 33.887170037
28357099 754012.448 3753041.865 297.647 0.792 0.04769 15.025 62643.06616 -84.253422257 33.887170030
28357100 754012.449 3753041.875 297.492 0.753 0.03740 15.012 62643.06619 -84.253422245 33.887170127
28357101 754012.45 3753041.885 297.338 0.796 0.02712 15.002 62643.06622 -84.253422226 33.887170213
28357102 754012.452 3753041.894 297.184 0.788 0.01683 14.994 62643.06626 -84.253422204 33.887170293
28357103 754012.451 3753041.908 297.03 0.792 0.00655 14.982 62643.06629 -84.253422208 33.887170422
28357104 754012.457 3753041.909 296.876 0.729 -0.00373 14.986 62643.06632 -84.253422150 33.887170430
28357179 754012.513 3753041.949 298.4 0.737 0.09900 14.707 62643.07931 -84.253421531 33.887170779
28357180 754012.519 3753041.949 298.248 0.788 0.08872 14.700 62643.07934 -84.253421466 33.887170770
28357181 754012.525 3753041.947 298.097 0.796 0.07843 14.694 62643.07937 -84.253421398 33.887170758
28357182 754012.524 3753041.964 297.945 0.800 0.06815 14.670 62643.07941 -84.253421412 33.887170906
28357183 754012.528 3753041.967 297.794 0.745 0.05787 14.662 62643.07944 -84.253421366 33.887170937
28357184 754012.53 3753041.974 297.643 0.804 0.04758 14.652 62643.07947 -84.253421336 33.887170996
28357185 754012.532 3753041.984 297.493 0.792 0.03730 14.640 62643.07950 -84.253421321 33.887171085
28357186 754012.539 3753041.98 297.342 0.796 0.02702 14.645 62643.07954 -84.253421238 33.887171045
28357187 754012.541 3753041.989 297.192 0.800 0.01673 14.637 62643.07957 -84.253421219 33.887171126
28357188 754012.54 3753042.003 297.042 0.792 0.00645 14.625 62643.07960 -84.253421224 33.887171254
28357189 754012.545 3753042.005 296.891 0.757 -0.00383 14.628 62643.07963 -84.253421171 33.887171270
28357261 754012.604 3753042.042 298.38 0.192 0.09900 14.352 62643.09262 -84.253420522 33.887171592
28357262 754012.607 3753042.048 298.232 0.753 0.08871 14.338 62643.09266 -84.253420486 33.887171641
28357263 754012.613 3753042.048 298.084 0.761 0.07843 14.331 62643.09269 -84.253420425 33.887171639
28357264 754012.609 3753042.067 297.936 0.424 0.06815 14.304 62643.09272 -84.253420455 33.887171814
28357265 754012.617 3753042.063 297.789 0.490 0.05786 14.304 62643.09275 -84.253420378 33.887171779
28357266 754012.622 3753042.063 297.642 0.537 0.04758 14.301 62643.09279 -84.253420318 33.887171779
28357267 754012.624 3753042.072 297.495 0.553 0.03730 14.291 62643.09282 -84.253420296 33.887171852
28357268 754012.635 3753042.059 297.348 0.639 0.02702 14.305 62643.09285 -84.253420178 33.887171738
28357269 754012.625 3753042.093 297.202 0.792 0.01673 14.269 62643.09289 -84.253420277 33.887172049
28357270 754012.628 3753042.099 297.055 0.741 0.00645 14.266 62643.09292 -84.253420245 33.887172101
28357345 754012.694 3753042.15 298.217 0.420 0.08881 13.973 62643.10597 -84.253419519 33.887172540
28357346 754012.691 3753042.169 298.072 0.788 0.07853 13.945 62643.10600 -84.253419549 33.887172713
