ID Easting Northing Altitude Retro Angle Distance UTC Long Lat
28459592 754256.719 3752675.421 300.742 0.443 0.03733 39.406 62660.10835 -84.250889640 33.883809969
28459682 754256.808 3752675.411 301.151 0.384 0.04772 39.130 62660.12164 -84.250888684 33.883809860
28459683 754256.825 3752675.421 300.748 0.745 0.03743 39.113 62660.12167 -84.250888504 33.883809943
28459773 754256.911 3752675.467 301.145 0.729 0.04762 38.781 62660.13496 -84.250887553 33.883810337
28459774 754256.928 3752675.469 300.746 0.776 0.03733 38.772 62660.13499 -84.250887372 33.883810348
28459863 754257.015 3752675.514 301.143 0.780 0.04762 38.441 62660.14828 -84.250886419 33.883810733
28459864 754257.033 3752675.492 300.748 0.796 0.03733 38.455 62660.14831 -84.250886235 33.883810538
28459954 754257.119 3752675.555 301.145 0.792 0.04772 38.107 62660.16160 -84.250885284 33.883811076
28459955 754257.136 3752675.55 300.753 0.784 0.03743 38.104 62660.16163 -84.250885105 33.883811034
28459956 754257.152 3752675.549 300.361 0.725 0.02714 38.102 62660.16166 -84.250884927 33.883811020
28460044 754257.208 3752675.573 301.529 0.639 0.05791 37.807 62660.17488 -84.250884315 33.883811217
28460045 754257.225 3752675.577 301.14 0.796 0.04762 37.791 62660.17492 -84.250884139 33.883811255
28460046 754257.241 3752675.579 300.751 0.490 0.03733 37.782 62660.17495 -84.250883963 33.883811268
28460047 754257.256 3752675.597 300.363 0.792 0.02704 37.761 62660.17498 -84.250883791 33.883811426
28460135 754257.314 3752675.604 301.524 0.780 0.05791 37.482 62660.18821 -84.250883169 33.883811476
28460136 754257.329 3752675.615 301.138 0.718 0.04762 37.460 62660.18824 -84.250882996 33.883811570
28460137 754257.345 3752675.629 300.753 0.780 0.03733 37.439 62660.18827 -84.250882825 33.883811692
28460138 754257.36 3752675.651 300.368 0.792 0.02704 37.414 62660.18830 -84.250882655 33.883811886
28460227 754257.419 3752675.646 301.523 0.804 0.05802 37.147 62660.20153 -84.250882014 33.883811827
28460228 754257.434 3752675.68 301.14 0.780 0.04772 37.102 62660.20156 -84.250881847 33.883812130
28460229 754257.451 3752675.667 300.759 0.800 0.03743 37.108 62660.20159 -84.250881672 33.883812009
28460230 754257.467 3752675.657 300.377 0.792 0.02714 37.115 62660.20162 -84.250881497 33.883811914
28460319 754257.534 3752675.687 301.515 0.796 0.05791 36.813 62660.21485 -84.250880762 33.883812168
28460320 754257.548 3752675.723 301.136 0.800 0.04762 36.766 62660.21488 -84.250880598 33.883812490
28460321 754257.566 3752675.695 300.758 0.808 0.03733 36.787 62660.21491 -84.250880421 33.883812234
28460322 754257.581 3752675.698 300.38 0.804 0.02704 36.781 62660.21495 -84.250880250 33.883812255
28460411 754257.649 3752675.721 301.511 0.784 0.05791 36.486 62660.22817 -84.250879509 33.883812447
28460412 754257.665 3752675.728 301.136 0.549 0.04762 36.468 62660.22820 -84.250879341 33.883812508
28460413 754257.679 3752675.751 300.761 0.490 0.03733 36.438 62660.22824 -84.250879175 33.883812711
28460414 754257.696 3752675.736 300.386 0.776 0.02704 36.450 62660.22827 -84.250879002 33.883812571
28460502 754257.764 3752675.761 301.511 0.667 0.05801 36.153 62660.24149 -84.250878257 33.883812781
28460503 754257.78 3752675.754 301.139 0.800 0.04772 36.149 62660.24152 -84.250878087 33.883812717
28460504 754257.795 3752675.777 300.767 0.796 0.03743 36.119 62660.24155 -84.250877924 33.883812921
28460505 754257.81 3752675.776 300.396 0.690 0.02714 36.117 62660.24159 -84.250877755 33.883812906
28460594 754257.895 3752675.807 301.135 0.804 0.04762 35.803 62660.25484 -84.250876833 33.883813167
28460595 754257.91 3752675.808 300.767 0.796 0.03733 35.796 62660.25487 -84.250876667 33.883813165
28460596 754257.928 3752675.759 300.399 0.278 0.02704 35.842 62660.25490 -84.250876491 33.883812720
28460685 754258.011 3752675.826 301.135 0.776 0.04762 35.492 62660.26816 -84.250875572 33.883813303
28460686 754258.026 3752675.824 300.77 0.792 0.03733 35.487 62660.26819 -84.250875407 33.883813283
28460687 754258.043 3752675.787 300.405 0.157 0.02704 35.521 62660.26822 -84.250875235 33.883812946
28460776 754258.126 3752675.872 301.138 0.682 0.04772 35.153 62660.28148 -84.250874315 33.883813692
28460777 754258.141 3752675.88 300.776 0.741 0.03743 35.138 62660.28151 -84.250874153 33.883813762
28460958 754258.356 3752675.646 301.498 0.098 0.05791 34.804 62660.30809 -84.250871895 33.883811601
